exp,N,d,seed,eps,tol_F,max_iter,algo,M_inner,converged,gibbs_to_tol,time_to_tol,sec_per_gibbs_to_tol,gibbs_total,wall_sec_total
E2_N2_MD_M125,2,11,1,1.0,1e-08,25000,MD,5,1,31.0,19.84262228012085,0.6400845896813178,31.0,20.449438333511353
E2_N2_MD_M125,2,12,1,1.0,1e-08,25000,MD,1,1,15.0,12.978405475616455,0.8652270317077637,15.0,13.898416757583618
E2_N2_MD_M125,2,12,1,1.0,1e-08,25000,MD,2,1,17.0,15.550430536270142,0.9147312080158907,17.0,16.51336407661438
E2_N2_MD_M125,2,12,1,1.0,1e-08,25000,MD,5,1,31.0,29.08128547668457,0.9381059831188571,31.0,30.07104182243347
E2_N2_MD_M125,2,2,2,1.0,1e-08,25000,MD,1,1,11.0,0.013639688491821289,0.0012399716810746627,11.0,0.013639688491821289
E2_N2_MD_M125,2,2,2,1.0,1e-08,25000,MD,2,1,17.0,0.018108367919921875,0.001065198112936581,17.0,0.018108367919921875
E2_N2_MD_M125,2,2,2,1.0,1e-08,25000,MD,5,1,31.0,0.026868343353271484,0.0008667207533313383,31.0,0.027875661849975586
E2_N2_MD_M125,2,3,2,1.0,1e-08,25000,MD,1,1,9.0,0.01436758041381836,0.0015963978237575954,9.0,0.015418291091918945
E2_N2_MD_M125,2,3,2,1.0,1e-08,25000,MD,2,1,13.0,0.014517784118652344,0.0011167526245117188,13.0,0.014517784118652344
E2_N2_MD_M125,2,3,2,1.0,1e-08,25000,MD,5,1,31.0,0.0330047607421875,0.0010646697013608872,31.0,0.034008026123046875
E2_N2_MD_M125,2,4,2,1.0,1e-08,25000,MD,1,1,25.0,0.04022026062011719,0.0016088104248046875,25.0,0.041132450103759766
E2_N2_MD_M125,2,4,2,1.0,1e-08,25000,MD,2,1,25.0,0.032694101333618164,0.0013077640533447265,25.0,0.032694101333618164
E2_N2_MD_M125,2,4,2,1.0,1e-08,25000,MD,5,1,31.0,0.036093711853027344,0.0011643132855815271,31.0,0.03719449043273926
E2_N2_MD_M125,2,5,2,1.0,1e-08,25000,MD,1,1,13.0,0.2314462661743164,0.01780355893648588,13.0,0.2458958625793457
E2_N2_MD_M125,2,5,2,1.0,1e-08,25000,MD,2,1,13.0,0.2571897506713867,0.019783826974722054,13.0,0.27866172790527344
E2_N2_MD_M125,2,5,2,1.0,1e-08,25000,MD,5,1,31.0,0.6722071170806885,0.02168410055098995,31.0,0.6936721801757812
E2_N2_MD_M125,2,6,2,1.0,1e-08,25000,MD,1,1,13.0,0.03838610649108887,0.0029527774223914514,13.0,0.0394747257232666
E2_N2_MD_M125,2,6,2,1.0,1e-08,25000,MD,2,1,13.0,0.03280806541442871,0.002523697339571439,13.0,0.03382611274719238
E2_N2_MD_M125,2,6,2,1.0,1e-08,25000,MD,5,1,31.0,0.06972217559814453,0.0022491024386498237,31.0,0.07173895835876465
E2_N2_MD_M125,2,7,2,1.0,1e-08,25000,MD,1,1,15.0,0.22747039794921875,0.015164693196614584,15.0,0.2407236099243164
E2_N2_MD_M125,2,7,2,1.0,1e-08,25000,MD,2,1,17.0,0.24043583869934082,0.01414328462937299,17.0,0.2561936378479004
E2_N2_MD_M125,2,7,2,1.0,1e-08,25000,MD,5,1,31.0,0.43798279762268066,0.014128477342667119,31.0,0.4517059326171875
E2_N2_MD_M125,2,8,2,1.0,1e-08,25000,MD,1,1,11.0,0.41974306106567383,0.03815846009687944,11.0,0.4629952907562256
E2_N2_MD_M125,2,8,2,1.0,1e-08,25000,MD,2,1,13.0,0.501192569732666,0.03855327459482046,13.0,0.5439281463623047
E2_N2_MD_M125,2,8,2,1.0,1e-08,25000,MD,5,1,31.0,1.3601584434509277,0.04387607882099767,31.0,1.409191370010376
E2_N2_MD_M125,2,9,2,1.0,1e-08,25000,MD,1,1,71.0,12.600463390350342,0.17747131535704708,71.0,12.771397113800049
E2_N2_MD_M125,2,9,2,1.0,1e-08,25000,MD,2,1,73.0,13.337225198745728,0.18270171505131133,73.0,13.492233514785767
E2_N2_MD_M125,2,9,2,1.0,1e-08,25000,MD,5,1,71.0,15.402407169342041,0.2169353122442541,71.0,15.60549283027649
E2_N2_MD_M125,2,10,2,1.0,1e-08,25000,MD,1,1,11.0,3.4989850521087646,0.31808955019170587,11.0,3.8877289295196533
E2_N2_MD_M125,2,10,2,1.0,1e-08,25000,MD,2,1,13.0,4.6917724609375,0.3609055739182692,13.0,5.0920491218566895
