Type,N,epsilon,Method,hit_1e3,hit_1e4,final_gibbs,final_e_tr,dist_pi_lbfgs,primal,dual
Ising,5,0.001,MD $M=1$,9064.0,12985.0,12985,9.993442778435946e-05,0.0019201875236898383,-0.945512650747176,-0.9455142102369176
Ising,5,0.001,MD $M=2$,9030.0,12770.0,12770,9.990350538519044e-05,0.0019197288274553142,-0.945512587464736,-0.9455142100200884
Ising,5,0.001,MD $M=5$,8519.0,12049.0,12049,9.97956954910395e-05,0.0019191327081207825,-0.945512700797982,-0.9455142094495964
Ising,6,0.001,L-BFGS,61.0,233.0,58387,4.115861520403996e-05,0.0,-0.9554932326985196,-0.9555035931658232
Ising,6,0.001,KL $\eta=\varepsilon/N$,29918.0,54084.0,54084,9.999869835419783e-05,0.0015072885226258864,-0.955509905382534,-0.9555038581161924
Ising,6,0.001,KL $\eta=\varepsilon$,4987.0,9014.0,9014,9.99503077731556e-05,0.0015073899105391094,-0.9555099025601352,-0.955503858168542
Ising,6,0.001,MD $M=1$,16098.0,24119.0,24119,9.983594257784167e-05,0.0019521729108901435,-0.9555052388215344,-0.9555040270384088
Ising,6,0.001,MD $M=2$,17004.0,24801.0,24801,9.99088665776804e-05,0.0019322575423468913,-0.955505229688822,-0.9555040172943964
Ising,6,0.001,MD $M=5$,19798.0,26995.0,26995,9.98945870025747e-05,0.001859793759951312,-0.9555051861688778,-0.9555039860909476
Ising,7,0.001,L-BFGS,61.0,96.0,59734,5.575696377491113e-06,0.0,-0.9800663592528792,-0.980068572034642
Ising,7,0.001,KL $\eta=\varepsilon/N$,24176.0,40964.0,40964,9.998887788958966e-05,0.0007005743575389989,-0.9800747253478024,-0.980068587373871
Ising,7,0.001,KL $\eta=\varepsilon$,,,100000,0.8009538753507845,0.9548456041285514,-0.9586514633811224,-0.9824453942491688
Ising,7,0.001,MD $M=1$,13674.0,21699.0,21699,9.983118456274864e-05,0.0009973253619658823,-0.9800779968787136,-0.9800686220971028
Ising,7,0.001,MD $M=2$,14765.0,22035.0,22035,9.989481878447393e-05,0.0009439873624250926,-0.980077141898964,-0.9800686217505944
Ising,7,0.001,MD $M=5$,22542.0,25331.0,25331,9.992285017479396e-05,0.0008012141759791477,-0.980073400077868,-0.9800686279016824
Random,3,0.001,L-BFGS,93.0,97.0,63891,4.796695793629624e-05,0.0,-0.8711134226791196,-0.8711098562193067
Random,3,0.001,KL $\eta=\varepsilon/N$,32590.0,,45824,0.000116203769388,0.00044156333889467346,-0.871135909894342,-0.8711098766045406
Random,3,0.001,KL $\eta=\varepsilon$,10863.0,,15274,0.0001161840922295,0.000441481222353593,-0.8711359054559745,-0.871109876597619
Random,3,0.001,MD $M=1$,28495.0,36815.0,36815,9.999380883656918e-05,0.00048258996237405665,-0.8711273116851467,-0.8711098810377298
Random,3,0.001,MD $M=2$,27767.0,34709.0,34709,9.995493231124554e-05,0.0004551825991165403,-0.8711294277161549,-0.8711098780081491
Random,3,0.001,MD $M=5$,34456.0,43905.0,43905,9.985950605898852e-05,0.0003107650175551653,-0.8711322765295201,-0.8711098767460524
Random,4,0.001,L-BFGS,93.0,151.0,57198,3.804164589382708e-05,0.0,-0.8369838125554101,-0.8369801676671716
Random,4,0.001,KL $\eta=\varepsilon/N$,13274.0,22859.0,22859,9.999229760033924e-05,0.0002780396822958409,-0.8369845805764254,-0.8369801834267925
Random,4,0.001,KL $\eta=\varepsilon$,3318.0,5715.0,5715,9.991459713898108e-05,0.00027786337505164376,-0.8369845727557017,-0.8369801834108709
Random,4,0.001,MD $M=1$,11997.0,18528.0,18528,9.963384327813368e-05,0.00032510751500768335,-0.8369810542892897,-0.8369801855388392
Random,4,0.001,MD $M=2$,12601.0,18699.0,18699,9.905658625692458e-05,0.00033292354794833357,-0.8369845634389138,-0.8369801846259355
Random,4,0.001,MD $M=5$,14961.0,18732.0,18732,9.961971958623308e-05,0.000339056757845096,-0.836988356063435,-0.8369801807615292
Random,5,0.001,L-BFGS,52.0,67.0,57634,4.706875915871933e-05,0.0,-0.9510184521572468,-0.9510230826121188
