small_kind,small_case,N,seed,eps,method,mode,phase,iter,local_gibbs_calls,warmup_gibbs_calls,total_gibbs_calls,time_sec,F_marg,e_tr,dual_value,converged_final
ising,mixed,3,0,1.0,MD M=1,warm_matched,warmup_stage,0,7,19,7,0.004033803939819336,5.294226299389201e-07,0.0007299291457479873,-2.2799916112694305,False
ising,mixed,3,0,0.1,MD M=1,warm_matched,warmup_stage,1,19,19,19,0.009733915328979492,0.029862392929147094,0.18367160720372516,-1.0170387347645151,False
ising,mixed,3,0,0.001,MD M=1,warm_matched,target_eps,0,1,19,20,0.0009362697601318359,0.41873371895767864,0.7987517353028395,-0.9553410234013413,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,0,1,0,1,0.0010132789611816406,0.3743244687109914,0.7761635254068233,-0.9603319368330046,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,1,7,0,7,0.0030975341796875,0.3719177641594705,0.774196458230606,-0.9584419160003042,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,2,13,0,13,0.005066633224487305,0.3694952807113293,0.7722034673742322,-0.9565685193809915,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,3,19,0,19,0.007067441940307617,0.36705723872443896,0.7701843944156362,-0.9547117478202342,False
ising,mixed,3,0,0.001,MD M=2,cold,target_eps,4,20,0,20,0.008073568344116211,0.3658451586677189,0.7691648261282006,-0.9537952281833161,False
ising,mixed,3,0,1.0,MD M=2,warm_matched,warmup_stage,0,13,19,13,0.005015373229980469,8.256835320525562e-07,0.001088145023907916,-2.2799919597758467,False
ising,mixed,3,0,0.1,MD M=2,warm_matched,warmup_stage,1,19,19,19,0.007957220077514648,0.08419675784516374,0.2893652147958626,-1.0409518515036293,False
ising,mixed,3,0,0.001,MD M=2,warm_matched,target_eps,0,1,19,20,0.0010106563568115234,0.4981626677425349,0.8203021640150338,-0.9821460227562209,False
ising,mixed,3,0,0.001,MD M=5,cold,target_eps,0,1,0,1,0.0009944438934326172,0.3743244687109914,0.7761635254068233,-0.9603319368330046,False
ising,mixed,3,0,0.001,MD M=5,cold,target_eps,1,16,0,16,0.005981922149658203,0.3682791741066699,0.7711982873857408,-0.955638050733585,False
ising,mixed,3,0,0.001,MD M=5,cold,target_eps,2,20,0,20,0.00698089599609375,0.36342320993488103,0.7671066247234567,-0.9519802198472352,False
ising,mixed,3,0,1.0,MD M=5,warm_matched,warmup_stage,0,17,19,17,0.0069751739501953125,7.409163926734007e-07,0.0009168355865284417,-2.2799918407434534,False
ising,mixed,3,0,0.1,MD M=5,warm_matched,warmup_stage,1,19,19,19,0.009034872055053711,0.16615824606766322,0.3945863295378362,-1.0851272173973514,False
ising,mixed,3,0,0.001,MD M=5,warm_matched,target_eps,0,1,19,20,0.0,0.6154855677568887,0.8453151466596912,-1.0290402909490222,False
