d,N,seed,eps,kl_converged,kl_final_e_tr,kl_gibbs_calls,md_converged,md_final_e_tr,md_gibbs_calls
3,3,0,0.7498942093324559,True,7.573056045107715e-09,45,True,7.615271538814947e-09,39
3,3,1,0.7498942093324559,True,9.66760800017538e-09,119,True,9.693718455977518e-09,138
3,3,2,0.7498942093324559,True,8.355301736811648e-09,43,True,8.01909264433877e-09,28
3,3,3,0.7498942093324559,True,7.755576647941214e-09,43,True,9.068763528518543e-09,34
3,3,4,0.7498942093324559,True,9.913615311915567e-09,398,True,9.757360456375656e-09,472
3,3,5,0.7498942093324559,True,8.052971722433127e-09,43,True,8.950074799490313e-09,39
3,3,6,0.7498942093324559,True,7.276966014682127e-09,43,True,6.701023820081135e-09,38
3,3,7,0.7498942093324559,True,9.44841077637076e-09,42,True,4.32830567334298e-09,30
3,3,8,0.7498942093324559,True,9.563247538270433e-09,45,True,3.870747425046383e-09,30
3,3,9,0.7498942093324559,True,7.073171757576004e-09,41,True,9.776363230102348e-09,26
3,3,0,1.0,True,8.442958303540664e-09,55,True,6.818835552306834e-09,28
3,3,1,1.0,True,9.200150384606425e-09,92,True,8.247449066477876e-09,72
3,3,2,1.0,True,9.76128517883913e-09,55,True,5.875812832292849e-09,23
3,3,3,1.0,True,8.713020100711964e-09,55,True,7.587650457654665e-09,26
3,3,4,1.0,True,9.820495593185243e-09,396,True,9.917951958489206e-09,347
3,3,5,1.0,True,8.973432682035888e-09,54,True,6.186183838977618e-09,29
3,3,6,1.0,True,9.768895999981044e-09,53,True,7.66145108929104e-09,28
3,3,7,1.0,True,8.458712284494906e-09,54,True,4.2997216175524676e-09,24
3,3,8,1.0,True,8.876451199720371e-09,57,True,7.359368295591926e-09,24
3,3,9,1.0,True,7.364449062181415e-09,53,True,4.238631492898963e-09,22
