small_kind,small_case,N,seed,eps,method,iter,gibbs_calls,time_sec,F_marg,e_tr,converged_final
ising,ground,4,0,0.001,KL descent,18,19,0.03000950813293457,1.685382832018591e-16,5.84389592273092e-10,False
ising,ground,4,0,0.001,KL descent,19,20,0.03099536895751953,2.0505241037888596e-16,5.833816207890441e-10,False
ising,ground,4,0,0.001,KL descent,20,21,0.031993865966796875,1.0175452415669162e-16,5.8237625832905e-10,False
ising,ground,4,0,0.001,KL descent,21,22,0.03299307823181152,1.7393923033324005e-16,5.813726722259599e-10,False
ising,ground,4,0,0.001,KL descent,22,23,0.034017324447631836,1.6050657311213648e-16,5.803711955467579e-10,False
ising,ground,4,0,0.001,KL descent,23,24,0.03499865531921387,-1.76191777919963e-17,5.793718282909441e-10,False
ising,ground,4,0,0.001,KL descent,24,25,0.03599905967712402,-6.502109371829136e-17,5.783738488144696e-10,False
ising,ground,4,0,0.001,KL descent,25,26,0.03700113296508789,-5.3488991565556187e-17,5.773783118280176e-10,False
ising,ground,4,0,0.001,KL descent,26,27,0.03800153732299805,3.517043168030455e-16,5.763845511989355e-10,False
ising,ground,4,0,0.001,KL descent,27,28,0.0390324592590332,-1.5166167436379263e-16,5.75393399593352e-10,False
ising,ground,4,0,0.001,KL descent,28,29,0.03999495506286621,2.710502942175599e-16,5.744030251442481e-10,False
ising,ground,4,0,0.001,KL descent,29,30,0.0410008430480957,-5.0224465026505963e-17,5.734154817639105e-10,False
ising,ground,4,0,0.001,KL descent,30,31,0.04299783706665039,2.06602771154928e-16,5.72429381673991e-10,False
ising,ground,4,0,0.001,KL descent,31,32,0.04502272605895996,4.469398465529817e-18,5.71445224473432e-10,False
ising,ground,4,0,0.001,KL descent,32,33,0.04600667953491211,1.8459379173478738e-16,5.704636207859727e-10,False
ising,ground,4,0,0.001,KL descent,33,34,0.04700183868408203,-6.901425548309993e-17,5.694837379444336e-10,False
ising,ground,4,0,0.001,KL descent,34,35,0.048001766204833984,1.1575407183914993e-16,5.6850540941537e-10,False
ising,ground,4,0,0.001,KL descent,35,36,0.04900002479553223,1.782088444149133e-16,5.675289682649613e-10,False
ising,ground,4,0,0.001,KL descent,36,37,0.04999876022338867,9.321250780014474e-17,5.665555247178875e-10,False
ising,ground,4,0,0.001,KL descent,37,38,0.05099773406982422,1.2305726444710452e-16,5.655823032135786e-10,False
ising,ground,4,0,0.001,KL descent,38,39,0.05099773406982422,1.6618507346022925e-16,5.646121348239739e-10,False
ising,ground,4,0,0.001,KL descent,39,40,0.05199694633483887,2.811265317251541e-16,5.636436317680368e-10,False
ising,ground,4,0,0.001,KL descent,40,41,0.05299568176269531,1.6421748092205908e-16,5.626768495581563e-10,False
ising,ground,4,0,0.001,KL descent,41,42,0.05399322509765625,-7.904508208045939e-17,5.617134535285276e-10,False
ising,ground,4,0,0.001,KL descent,42,43,0.05599641799926758,2.8137600035061217e-16,5.607497244320148e-10,False
ising,ground,4,0,0.001,KL descent,43,44,0.05699610710144043,2.3655793327845585e-16,5.597888819153542e-10,False
ising,ground,4,0,0.001,KL descent,44,45,0.05799436569213867,1.6061738149028635e-16,5.588299267778366e-10,False
ising,ground,4,0,0.001,KL descent,45,46,0.06000256538391113,2.2710520059298983e-16,5.57873247597557e-10,False
ising,ground,4,0,0.001,KL descent,46,47,0.061006784439086914,2.1804380341055808e-17,5.569182337517603e-10,False
ising,ground,4,0,0.001,KL descent,47,48,0.06200456619262695,-5.664950343837562e-17,5.559649962628248e-10,False
ising,ground,4,0,0.001,KL descent,48,49,0.06299638748168945,8.465529592895012e-17,5.550127579745379e-10,False
ising,ground,4,0,0.001,KL descent,49,50,0.06399416923522949,-4.3438987819670456e-17,5.540638503557322e-10,False
ising,ground,4,0,0.001,KL descent,50,51,0.06499457359313965,2.191708585018575e-16,5.531164970485029e-10,False
ising,ground,4,0,0.001,KL descent,51,52,0.06599211692810059,2.8120811345996763e-16,5.52170920098567e-10,False
ising,ground,4,0,0.001,KL descent,52,53,0.06699609756469727,1.0509925235725149e-16,5.512259537714479e-10,False
ising,ground,4,0,0.001,KL descent,53,54,0.06799626350402832,1.3109685997205842e-16,5.502835964679413e-10,False
ising,ground,4,0,0.001,KL descent,54,55,0.06900405883789062,3.7042592007340975e-16,5.493437371662118e-10,False
