small_kind,small_case,N,seed,eps,method,mode,phase,iter,local_gibbs_calls,warmup_gibbs_calls,total_gibbs_calls,time_sec,F_marg,e_tr,dual_value,converged_final
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,189,190,0,190,21.752439737319946,0.43793220336756167,0.7641804154527325,-0.9615978050052862,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,199,200,0,200,22.801457166671753,0.4298621007047603,0.759550774495174,-0.9599266010297038,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,209,210,0,210,23.84151577949524,0.40091531019769383,0.739058009641288,-0.9583113666192605,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,219,220,0,220,24.88159489631653,0.13739740600565384,0.465703047673916,-0.9571947579111221,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,229,230,0,230,25.921630382537842,0.010689666807163094,0.14074926976456786,-0.957016924863074,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,239,240,0,240,26.970455408096313,0.005473623764521913,0.07037020386841941,-0.9569938098537364,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,249,250,0,250,28.010549068450928,0.005253813740342823,0.0698364632173677,-0.9569760142868042,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,259,260,0,260,29.050684690475464,0.005157271969261653,0.07011137796342104,-0.9569586551820894,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,269,270,0,270,30.090630531311035,0.005065375860395438,0.06975408413095041,-0.95694160853784,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,279,280,0,280,31.13951325416565,0.004975361595214943,0.06930505965472566,-0.9569248652591928,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,289,290,0,290,32.17943024635315,0.004887129356472477,0.06884599847986289,-0.9569084192367371,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,299,300,0,300,33.21951103210449,0.004800640281230965,0.06838919590794468,-0.9568922645857377,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,309,310,0,310,34.259602069854736,0.0047158576223663125,0.06793646277218024,-0.9568763955524924,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,319,320,0,320,35.30861735343933,0.0046327454815592245,0.06748802720930935,-0.9568608065053037,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,329,330,0,330,36.34862804412842,0.004551268773907605,0.06704387911922915,-0.9568454919309924,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,339,340,0,340,37.3885064125061,0.004471393209181815,0.06660397315777838,-0.9568304464321009,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,349,350,0,350,38.45547819137573,0.004393085272284661,0.06616825936029558,-0.9568156647242524,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,359,360,0,360,39.50346231460571,0.004316312203965533,0.06573668775839353,-0.9568011416336,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,369,370,0,370,40.543511390686035,0.004241041982058026,0.06530920904596127,-0.9567868720943326,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,379,380,0,380,41.5834436416626,0.0041672433032163315,0.06488577467769346,-0.9567728511462572,True
ising,mixed,6,0,0.001,KL eta=eps/N,cold,target_eps,389,390,0,390,42.63257431983948,0.004094885565163472,0.06446633686874981,-0.9567590739324094,True
