method,mode,converged,iters,gibbs_calls,warmup_gibbs_calls,total_with_warm_gibbs,time_sec,warmup_time_sec,total_with_warm_time_sec,final_F_marg,final_e_tr,final_trace_sum,final_cost,stage_gibbs_calls,stage_iters,eps_schedule,small_kind,small_case,N,seed,paper79_label,eps_final,eps0,q,max_inner,warm_method,warm_variant,source_file,source_root
KL descent (eta=eps),warm_matched,False,100000,100001,108170,208171,104.91253328323364,113.64025354385376,218.5527868270874,1.6399636725748191e-06,0.0011624049524727,0.0031474980506103,-0.9351419471266776,6;138;137;472;1195;1521;1570;1571;1209;129;113;108;100001,5;137;136;471;1194;1520;1569;1570;1208;128;112;107;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11;1e-12,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
MD-Sinkhorn (M=1),cold,False,100000,400001,0,400001,237.2977132797241,0.0,237.2977132797241,0.0310770274790262,0.2330165850010671,0.3330712628386743,-0.9819798341599212,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
MD-Sinkhorn (M=1),warm_matched,False,100000,399914,422970,822884,242.3166496753693,254.68033576011655,496.9969854354858,1.5961581715672368e-06,0.0010269150338841,0.0033319951804287,-0.9350328874879924,13;389;505;1844;4962;6601;6801;393;393;393;393;393;399890,3;135;128;461;1241;1651;1701;99;99;99;99;99;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11;1e-12,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
MD-Sinkhorn (M=2),cold,False,100000,800001,0,800001,419.6087238788605,0.0,419.6087238788605,0.0310770160148927,0.2330165127546969,0.3330712547213044,-0.9819798341599196,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,MD-Sinkhorn (M=2),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
MD-Sinkhorn (M=2),warm_matched,False,100000,799683,816970,1616653,483.1867544651032,436.0032606124878,919.1900150775908,1.443437675325974e-06,0.0010097537746661,0.0030473833722712,-0.935091330720656,23;452;497;1879;5313;6933;381;381;381;381;381;381;799587,3;78;62;235;664;867;48;48;48;48;48;48;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11;1e-12,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,MD-Sinkhorn (M=2),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
MD-Sinkhorn (M=5),cold,False,100000,2000001,0,2000001,1989.738297700882,0.0,1989.738297700882,0.031076981622618,0.2330162960159854,0.3330712303692192,-0.9819798341599074,,,,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,MD-Sinkhorn (M=5),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
MD-Sinkhorn (M=5),warm_matched,False,100000,1996481,2015684,4012165,867.0627479553223,883.7487118244171,1750.8114597797394,1.3000157498567998e-06,0.0009898143146776,0.0028962497465618,-0.93506535054946,26;645;481;1961;5641;7376;376;376;376;376;376;376;1997298,3;46;24;98;282;369;19;19;19;19;19;19;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08;1e-09;1e-10;1e-11;1e-12,ising,mixed,4,0,small_ising_mixed_N4_seed0,1e-12,1.0,10.0,100000,matched,MD-Sinkhorn (M=5),hpc_warm_qubit_eps/N4/ising_mixed_seed0_warm_eps1em12.csv,warm
KL descent (eta=eps/N),cold,False,100000,100001,0,100001,93.88188314437866,0.0,93.88188314437866,6.077396954250289e-06,0.0025526791560201,0.0064238983058335,-0.8365611677889078,,,,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
KL descent (eta=eps/N),warm_matched,True,1,2,78837,78839,0.0006630420684814,74.00021982192993,74.00088286399841,9.999158607553678e-09,9.244766150530648e-05,0.0002649393991276,-0.836331960032267,23;166;1127;2801;74720,22;165;1126;2800;74719,1.0;0.1;0.01;0.001;0.0001,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
KL descent (eta=eps),cold,True,58746,58747,0,58747,55.30054330825806,0.0,55.30054330825806,9.99941617852946e-09,8.728105843357145e-05,0.0002497491968811,-0.8363308180244092,,,,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
KL descent (eta=eps),warm_matched,True,1,2,19637,19639,0.0005872249603271,18.57459306716919,18.57518029212952,9.997744741926831e-09,9.301573238212672e-05,0.0002646645602283,-0.8363320561006211,5;41;282;700;18609,4;40;281;699;18608,1.0;0.1;0.01;0.001;0.0001,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=1),cold,False,100000,186015,0,186015,129.8774380683899,0.0,129.8774380683899,1.900335553491628e-08,9.997242778223472e-05,0.0003672420657407,-0.8363278696674161,,,,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=1),warm_matched,False,100000,1,60333,60334,56.37257409095764,80.81234550476074,137.18491959571838,2.0697853891986905e-08,9.99744693487513e-05,0.0003892883953149,-0.8363369526493313,13;149;1065;2513;56593,3;37;266;628;100000,1.0;0.1;0.01;0.001;0.0001,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=2),cold,False,100000,187925,0,187925,132.01010012626648,0.0,132.01010012626648,1.9197758156060192e-08,9.974232678390648e-05,0.0003726520989792,-0.8363314288050461,,,,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=2),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=2),warm_matched,False,100000,1,56042,56043,55.84698820114136,79.21063232421875,135.0576205253601,2.0347272695402192e-08,9.992088798931488e-05,0.0003874340097624,-0.8363365152198142,22;167;1089;2297;52467,3;21;136;287;100000,1.0;0.1;0.01;0.001;0.0001,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=2),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=5),cold,False,100000,188433,0,188433,133.08424544334412,0.0,133.08424544334412,2.0379866974277907e-08,9.973717865319748e-05,0.0003843116652403,-0.8363364890590357,,,,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=5),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
MD-Sinkhorn (M=5),warm_matched,False,100000,1,45425,45426,56.51601886749268,74.58107471466064,131.09709358215332,1.5227030442933312e-08,9.992479538552792e-05,0.000332526220972,-0.836341423290488,26;236;1214;1795;42154,3;12;61;91;100000,1.0;0.1;0.01;0.001;0.0001,random,mixed,4,0,small_random_mixed_N4_seed0,0.0001,1.0,10.0,100000,matched,MD-Sinkhorn (M=5),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em04.csv,warm
KL descent (eta=eps/N),cold,False,100000,100001,0,100001,222.44151902198792,0.0,222.44151902198792,0.4360962007790991,0.603366336602579,1.676522612452832,-0.9269641193024284,,,,random,mixed,4,0,small_random_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em08.csv,warm
KL descent (eta=eps/N),warm_matched,False,100000,100001,111406,211407,92.3563621044159,124.24605321884157,216.60241532325745,8.889440453149257e-07,0.0010382857465004,0.0023229630894294,-0.8364325907306509,23;166;1127;2801;6767;173;174;174;100001,22;165;1126;2800;6766;172;173;173;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,random,mixed,4,0,small_random_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,KL descent (eta=eps/N),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em08.csv,warm
KL descent (eta=eps),cold,False,100000,100001,0,100001,92.50749397277832,0.0,92.50749397277832,0.4341092784652791,0.6024629676433062,1.6728513586401883,-0.926962875411813,,,,random,mixed,4,0,small_random_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em08.csv,warm
KL descent (eta=eps),warm_matched,False,100000,100001,102847,202848,92.79207944869997,95.3695855140686,188.16166496276853,8.839122036721008e-07,0.0010355242230273,0.002314911640758,-0.8364325142765909,5;41;282;700;1692;42;42;42;100001,4;40;281;699;1691;41;41;41;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,random,mixed,4,0,small_random_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,KL descent (eta=eps),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em08.csv,warm
MD-Sinkhorn (M=1),cold,False,100000,400001,0,400001,214.58281588554385,0.0,214.58281588554385,0.4341092784984073,0.6024629676565751,1.6728513587014389,-0.9269628754118462,,,,random,mixed,4,0,small_random_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em08.csv,warm
MD-Sinkhorn (M=1),warm_matched,False,100000,400001,410485,810486,214.0867578983307,219.39355659484863,433.4803144931793,8.751229220149682e-07,0.0010358203387022,0.0022941594464085,-0.8364413125454393,13;149;1065;2513;6225;173;173;173;400001,3;37;266;628;1556;43;43;43;100000,1.0;0.1;0.01;0.001;0.0001;1e-05;1e-06;1e-07;1e-08,random,mixed,4,0,small_random_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,MD-Sinkhorn (M=1),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em08.csv,warm
MD-Sinkhorn (M=2),cold,False,100000,800001,0,800001,381.2260737419128,0.0,381.2260737419128,0.4314672349894403,0.6012572820508517,1.6679544184191688,-0.9269588962662606,,,,random,mixed,4,0,small_random_mixed_N4_seed0,1e-08,1.0,10.0,100000,matched,MD-Sinkhorn (M=2),hpc_warm_qubit_eps/N4/random_mixed_seed0_warm_eps1em08.csv,warm
