seed,N,d,i,eps,eta_inner,M_inner,tol_inner,tol_F_inner,inner_step,time_sec,gibbs_calls,e_i_tr,F_i,log10_e_i_tr,log10_F_i,converged
0,4,3,0,1.0,1.0,80,0.0,0.0,20,4.143764495849609,21,8.044294110419551e-16,6.198192115284904e-17,-15.094512059383444,-16.207734966768072,0
0,4,3,0,1.0,1.0,80,0.0,0.0,21,4.329198837280273,22,6.242958192819903e-16,5.102100452410622e-16,-15.204609573396183,-15.292250995060185,0
0,4,3,0,1.0,1.0,80,0.0,0.0,22,4.610437870025635,23,4.737005704417784e-16,5.868394306982468e-18,-15.324496092283724,-17.231480712893955,0
0,4,3,0,1.0,1.0,80,0.0,0.0,23,4.90512228012085,24,7.304598780433266e-16,4.605421461958263e-16,-15.13640363355983,-15.336730619489451,0
0,4,3,0,1.0,1.0,80,0.0,0.0,24,5.058992147445679,25,1.0145447386031252e-15,9.336964630266548e-17,-14.993728797028801,-16.029794286358527,0
0,4,3,0,1.0,1.0,80,0.0,0.0,25,5.209810256958008,26,6.08290769472451e-16,5.041651617000185e-16,-15.215888773702448,-15.297427167791227,0
0,4,3,0,1.0,1.0,80,0.0,0.0,26,5.438323020935059,27,7.045354981489665e-16,2.1961477667463393e-16,-15.152097119997036,-15.658338441943473,0
0,4,3,0,1.0,1.0,80,0.0,0.0,27,5.709400177001953,28,4.690712327775857e-16,1.7961900526278794e-16,-15.328761200668373,-15.745647713080329,0
0,4,3,0,1.0,1.0,80,0.0,0.0,28,5.889798164367676,29,6.445758077556034e-16,3.3643246200096583e-16,-15.190725998475267,-15.473102106251904,0
0,4,3,0,1.0,1.0,80,0.0,0.0,29,6.051257371902466,30,1.0065692030159514e-15,6.677556052585121e-16,-14.997156361406432,-15.175382457746688,0
0,4,3,0,1.0,1.0,80,0.0,0.0,30,6.314759969711304,31,5.025811114613344e-16,1.5672285812606756e-16,-15.29879383755455,-15.804867656792153,0
0,4,3,0,1.0,1.0,80,0.0,0.0,31,6.619357347488403,32,8.583972822737013e-16,4.077330618402467e-17,-15.06631166603675,-16.389624071494573,0
0,4,3,0,1.0,1.0,80,0.0,0.0,32,6.859360933303833,33,7.463019596372066e-16,-6.722841199327012e-17,-15.1270854180091,nan,0
0,4,3,0,1.0,1.0,80,0.0,0.0,33,7.034235239028931,34,5.369433056469846e-16,2.6411015111705084e-16,-15.270071567828397,-15.57821490629252,0
0,4,3,0,1.0,1.0,80,0.0,0.0,34,7.163542985916138,35,5.255122524773477e-16,4.0666766854979374e-16,-15.279417153810298,-15.39076035409792,0
0,4,3,0,1.0,1.0,80,0.0,0.0,35,7.425020933151245,36,3.6869620380881574e-16,-1.845899907823809e-16,-15.433331333978833,nan,0
0,4,3,0,1.0,1.0,80,0.0,0.0,36,7.707634449005127,37,5.81205790688827e-16,4.871383611111508e-17,-15.235670067375262,-16.312347669313667,0
0,4,3,0,1.0,1.0,80,0.0,0.0,37,7.9396960735321045,38,8.143213998888796e-16,3.689727674429597e-17,-15.089204152052877,-16.433005686376692,0
